Sample,Date,Winter,Field_Code,Shooting,
IS2020F278,02/02/2020,2019/2020,AO24,No,
IS2020F279,02/02/2020,2019/2020,AO24,No,
IS2020F280,02/02/2020,2019/2020,AO24,No,
IS2020F264,26/01/2020,2019/2020,AO25,No,
IS2020F265,26/01/2020,2019/2020,AO25,No,
IS2020F266,26/01/2020,2019/2020,AO25,No,
IS2020F267,26/01/2020,2019/2020,AO25,No,
IS2019F110,27/03/2019,2018/2019,AO27,No,
IS2019F111,27/03/2019,2018/2019,AO27,No,
IS2019F112,27/03/2019,2018/2019,AO27,No,
IS2019F113,27/03/2019,2018/2019,AO27,No,
IS2019F239,14/11/2019,2019/2020,AO29,No,
IS2019F240,14/11/2019,2019/2020,AO29,No,
IS2019F241,14/11/2019,2019/2020,AO29,No,
IS2019F242,14/11/2019,2019/2020,AO29,No,
IS2019F243,14/11/2019,2019/2020,AO29,No,
IS2019F166,27/03/2019,2018/2019,AO31,No,
IS2019F167,27/03/2019,2018/2019,AO31,No,
IS2019F168,27/03/2019,2018/2019,AO31,No,
IS2019F169,27/03/2019,2018/2019,AO31,No,
IS2019F249,18/11/2019,2019/2020,AO5,No,
IS2019F250,18/11/2019,2019/2020,AO5,No,
IS2019F251,18/11/2019,2019/2020,AO5,No,
IS2019F252,18/11/2019,2019/2020,AO5,No,
IS2019F253,18/11/2019,2019/2020,AO5,No,
IS2018F01,23/02/2018,2017/2018,BB2,Yes,
IS2018F14,23/02/2018,2017/2018,BB2,Yes,
IS2018F15,23/02/2018,2017/2018,BB2,Yes,
IS2018F19,23/02/2018,2017/2018,BB2,Yes,
IS2019F162,26/03/2019,2018/2019,BB2,,
IS2019F163,26/03/2019,2018/2019,BB2,,
IS2019F164,26/03/2019,2018/2019,BB2,,
IS2019F165,26/03/2019,2018/2019,BB2,,
IS2020F281,10/02/2020,2019/2020,BE12,No,ROOST
IS2020F282,10/02/2020,2019/2020,BE12,No,ROOST
IS2020F283,10/02/2020,2019/2020,BE12,No,ROOST
IS2020F284,10/02/2020,2019/2020,BE12,No,ROOST
IS2020F285,10/02/2020,2019/2020,BE12,No,ROOST
IS2020F286,10/02/2020,2019/2020,BE12,No,ROOST
IS2020F287,10/02/2020,2019/2020,BE12,No,ROOST
IS2020F288,10/02/2020,2019/2020,BE12,No,ROOST
IS2020F289,10/02/2020,2019/2020,BE12,No,ROOST
IS2020F290,10/02/2020,2019/2020,BE12,No,ROOST
IS2020F291,10/02/2020,2019/2020,BE12,No,ROOST
IS2020F292,10/02/2020,2019/2020,BE12,No,ROOST
IS2020F293,10/02/2020,2019/2020,BE12,No,ROOST
IS2020F294,10/02/2020,2019/2020,BE12,No,ROOST
IS2020F295,10/02/2020,2019/2020,BE12,No,ROOST
IS2020F296,10/02/2020,2019/2020,BE12,No,ROOST
IS2019F122,04/04/2019,2018/2019,BH7,,
IS2019F123,04/04/2019,2018/2019,BH7,,
IS2019F124,04/04/2019,2018/2019,BH7,,
IS2019F125,04/04/2019,2018/2019,BH7,,
IS2019F178,27/03/2019,2018/2019,BV10,,
IS2019F179,27/03/2019,2018/2019,BV10,,
IS2019F180,27/03/2019,2018/2019,BV10,,
IS2019F181,27/03/2019,2018/2019,BV10,,
IS2019F56,08/02/2019,2018/2019,BV12,,
IS2019F58,08/02/2019,2018/2019,BV12,,
IS2019F84,08/02/2019,2018/2019,BV12,,
IS2020F348,15/03/2020,2019/2020,BV14,,
IS2020F349,15/03/2020,2019/2020,BV14,,
IS2020F350,15/03/2020,2019/2020,BV14,,
IS2020F351,15/03/2020,2019/2020,BV14,,
IS2020F352,15/03/2020,2019/2020,BV14,,
IS2020F353,15/03/2020,2019/2020,BV14,,
IS2020F354,15/03/2020,2019/2020,BV14,,
IS2020F355,15/03/2020,2019/2020,BV14,,
IS2020F356,15/03/2020,2019/2020,BV14,,
IS2020F357,15/03/2020,2019/2020,BV14,,
IS2019F130,04/04/2019,2018/2019,CG20,,
IS2019F131,04/04/2019,2018/2019,CG20,,
IS2019F132,04/04/2019,2018/2019,CG20,,
IS2019F133,04/04/2019,2018/2019,CG20,,
IS2020F297,10/02/2020,2019/2020,CG3,No,
IS2020F298,10/02/2020,2019/2020,CG3,No,
IS2020F299,10/02/2020,2019/2020,CG3,No,
IS2020F300,10/02/2020,2019/2020,CG3,No,
IS2020F301,10/02/2020,2019/2020,CG3,No,
IS2020F302,10/02/2020,2019/2020,CG3,No,
IS2020F303,10/02/2020,2019/2020,CG3,No,
IS2020F304,10/02/2020,2019/2020,CG3,No,
IS2019F106,28/03/2019,2018/2019,CL44,,
IS2019F107,28/03/2019,2018/2019,CL44,,
IS2019F108,28/03/2019,2018/2019,CL44,,
IS2019F109,28/03/2019,2018/2019,CL44,,
IS2019F254,18/11/2019,2019/2020,CO4,,
IS2019F255,18/11/2019,2019/2020,CO4,,
IS2019F256,18/11/2019,2019/2020,CO4,,
IS2019F257,18/11/2019,2019/2020,CO4,,
IS2019F258,18/11/2019,2019/2020,CO4,,
IS2019F182,26/03/2019,2018/2019,CO48,,
IS2019F183,26/03/2019,2018/2019,CO48,,
IS2019F184,26/03/2019,2018/2019,CO48,,
IS2019F185,26/03/2019,2018/2019,CO48,,
IS2018F07,22/02/2018,2017/2018,CO5,Yes,
IS2018F18,22/02/2018,2017/2018,CO5,Yes,
IS2018F23,22/02/2018,2017/2018,CO5,Yes,
IS2018F24,22/02/2018,2017/2018,CO5,Yes,
IS2018F35,26/02/2018,2017/2018,CP3,No,
IS2018F36,26/02/2018,2017/2018,CP3,No,
IS2018F37,26/02/2018,2017/2018,CP3,No,
IS2018F38,26/02/2018,2017/2018,CP3,No,
IS2019F63,27/02/2019,2018/2019,CP3,,
IS2019F64,27/02/2019,2018/2019,CP3,,
IS2019F65,27/02/2019,2018/2019,CP3,,
IS2019F82,27/02/2019,2018/2019,CP3,,
IS2018F05,22/02/2018,2017/2018,CP51,Yes,
IS2018F06,22/02/2018,2017/2018,CP51,Yes,
IS2018F08,22/02/2018,2017/2018,CP51,Yes,
IS2018F12,22/02/2018,2017/2018,CP51,Yes,
IS2019F62,19/02/2019,2018/2019,CP51,,
IS2019F96,19/02/2019,2018/2019,CP51,,
IS2019F97,19/02/2019,2018/2019,CP51,,
IS2019F98,19/02/2019,2018/2019,CP51,,
IS2018F16,26/02/2018,2017/2018,CP55,Yes,
IS2018F17,26/02/2018,2017/2018,CP55,Yes,
IS2018F20,26/02/2018,2017/2018,CP55,Yes,
IS2018F22,26/02/2018,2017/2018,CP55,Yes,
IS2020F272,26/01/2020,2019/2020,CP55,No,
IS2020F273,26/01/2020,2019/2020,CP55,No,
IS2020F274,26/01/2020,2019/2020,CP55,No,
IS2020F275,26/01/2020,2019/2020,CP55,No,
IS2019F76,10/02/2019,2018/2019,CP56,Yes,
IS2019F77,10/02/2019,2018/2019,CP56,Yes,
IS2019F78,10/02/2019,2018/2019,CP56,Yes,
IS2019F81,10/02/2019,2018/2019,CP56,Yes,
IS2019F114,26/03/2019,2018/2019,EE6,,
IS2019F115,26/03/2019,2018/2019,EE6,,
IS2019F116,26/03/2019,2018/2019,EE6,,
IS2019F117,26/03/2019,2018/2019,EE6,,
IS2019F210,27/10/2019,2019/2020,EO28,No,
IS2019F211,27/10/2019,2019/2020,EO28,No,
IS2019F212,27/10/2019,2019/2020,EO28,No,
IS2019F213,27/10/2019,2019/2020,EO28,No,
IS2020F309,11/02/2020,2019/2020,EO28,,
IS2020F310,11/02/2020,2019/2020,EO28,,
IS2020F311,11/02/2020,2019/2020,EO28,,
IS2020F312,11/02/2020,2019/2020,EO28,,
IS2020F313,11/02/2020,2019/2020,EO28,,
IS2020F314,11/02/2020,2019/2020,EO28,,
IS2020F315,11/02/2020,2019/2020,EO28,,
IS2020F316,11/02/2020,2019/2020,EO28,,
IS2019F126,04/04/2019,2018/2019,EO3,,
IS2019F127,04/04/2019,2018/2019,EO3,,
IS2019F128,04/04/2019,2018/2019,EO3,,
IS2019F129,04/04/2019,2018/2019,EO3,,
IS2019F142,03/04/2019,2018/2019,GC34,,
IS2019F143,03/04/2019,2018/2019,GC34,,
IS2019F144,03/04/2019,2018/2019,GC34,,
IS2019F145,03/04/2019,2018/2019,GC34,,
IS2018F26,26/02/2018,2017/2018,GC37,No,
IS2018F28,26/02/2018,2017/2018,GC37,No,
IS2018F34,26/02/2018,2017/2018,GC37,No,
IS2018F39,26/02/2018,2017/2018,GC37,No,
IS2019F57,15/02/2019,2018/2019,GC39,,
IS2019F99,15/02/2019,2018/2019,GC39,,
IS2019F100,15/02/2019,2018/2019,GC39,,
IS2019F101,15/02/2019,2018/2019,GC39,,
IS2020F305,11/02/2020,2019/2020,GG34,,
IS2020F306,11/02/2020,2019/2020,GG34,,
IS2020F307,11/02/2020,2019/2020,GG34,,
IS2020F308,11/02/2020,2019/2020,GG34,,
IS2019F118,28/03/32019,2018/2019,GM12,,
IS2019F119,28/03/32019,2018/2019,GM12,,
IS2019F120,28/03/32019,2018/2019,GM12,,
IS2019F121,28/03/32019,2018/2019,GM12,,
IS2020F336,16/02/2020,2019/2020,KILMENY,,
IS2020F337,16/02/2020,2019/2020,KILMENY,,
IS2019F170,27/03/2019,2018/2019,KN5,,
IS2019F171,27/03/2019,2018/2019,KN5,,
IS2019F172,27/03/2019,2018/2019,KN5,,
IS2019F173,27/03/2019,2018/2019,KN5,,
IS2018F47,20/02/2018,2017/2018,KN6,No,
IS2018F49,20/02/2018,2017/2018,KN6,No,
IS2018F50,20/02/2018,2017/2018,KN6,No,
IS2018F52,20/02/2018,2017/2018,KN6,No,
IS2020F388,17/03/2020,2019/2020,KN8,,
IS2020F389,17/03/2020,2019/2020,KN8,,
IS2020F390,17/03/2020,2019/2020,KN8,,
IS2020F391,17/03/2020,2019/2020,KN8,,
IS2020F392,17/03/2020,2019/2020,KN8,,
IS2020F393,17/03/2020,2019/2020,KN8,,
IS2020F394,17/03/2020,2019/2020,KN8,,
IS2020F395,17/03/2020,2019/2020,KN8,,
IS2020F396,17/03/2020,2019/2020,KN8,,
IS2020F397,17/03/2020,2019/2020,KN8,,
IS2020F317,13/02/2020,2019/2020,KO27,,
IS2020F318,13/02/2020,2019/2020,KO27,,
IS2020F319,13/02/2020,2019/2020,KO27,,
IS2020F320,13/02/2020,2019/2020,KO27,,
IS2020F321,13/02/2020,2019/2020,KO27,,
IS2020F322,13/02/2020,2019/2020,KO27,,
IS2019F259,20/11/2019,2019/2020,KT10,No,
IS2019F260,20/11/2019,2019/2020,KT10,No,
IS2019F261,20/11/2019,2019/2020,KT10,No,
IS2019F262,20/11/2019,2019/2020,KT10,No,
IS2019F263,20/11/2019,2019/2020,KT10,No,
IS2018F27,21/02/2018,2017/2018,LR7,No,
IS2018F43,21/02/2018,2017/2018,LR7,No,
IS2018F44,21/02/2018,2017/2018,LR7,No,
IS2018F46,21/02/2018,2017/2018,LR7,No,
IS2019F158,03/04/2019,2018/2019,LR7,,
IS2019F159,03/04/2019,2018/2019,LR7,,
IS2019F160,03/04/2019,2018/2019,LR7,,
IS2019F161,03/04/2019,2018/2019,LR7,,
IS2019F244,15/11/2019,2019/2020,LR7,No,
IS2019F245,15/11/2019,2019/2020,LR7,No,
IS2019F246,15/11/2019,2019/2020,LR7,No,
IS2019F247,15/11/2019,2019/2020,LR7,No,
IS2019F248,15/11/2019,2019/2020,LR7,No,
IS2020F338,15/03/2020,2019/2020,LR7,,
IS2020F339,15/03/2020,2019/2020,LR7,,
IS2020F340,15/03/2020,2019/2020,LR7,,
IS2020F341,15/03/2020,2019/2020,LR7,,
IS2020F342,15/03/2020,2019/2020,LR7,,
IS2020F343,15/03/2020,2019/2020,LR7,,
IS2020F344,15/03/2020,2019/2020,LR7,,
IS2020F345,15/03/2020,2019/2020,LR7,,
IS2020F346,15/03/2020,2019/2020,LR7,,
IS2020F347,15/03/2020,2019/2020,LR7,,
IS2019F69,19/02/2019,2018/2019,LY27,,
IS2019F70,19/02/2019,2018/2019,LY27,,
IS2019F71,19/02/2019,2018/2019,LY27,,
IS2019F72,19/02/2019,2018/2019,LY27,,
IS2020F378,17/03/2020,2019/2020,LY27,,
IS2020F379,17/03/2020,2019/2020,LY27,,
IS2020F380,17/03/2020,2019/2020,LY27,,
IS2020F381,17/03/2020,2019/2020,LY27,,
IS2020F382,17/03/2020,2019/2020,LY27,,
IS2020F383,17/03/2020,2019/2020,LY27,,
IS2020F384,17/03/2020,2019/2020,LY27,,
IS2020F385,17/03/2020,2019/2020,LY27,,
IS2020F386,17/03/2020,2019/2020,LY27,,
IS2020F387,17/03/2020,2019/2020,LY27,,
IS2019F66,19/02/2019,2018/2019,LY28,,
IS2019F67,19/02/2019,2018/2019,LY28,,
IS2019F68,19/02/2019,2018/2019,LY28,,
IS2019F83,19/02/2019,2018/2019,LY28,,
IS2019F79,11/02/2019,2018/2019,NB8,Buffer,
IS2019F80,11/02/2019,2018/2019,NB8,Buffer,
IS2019F90,11/02/2019,2018/2019,NB8,,
IS2019F91,11/02/2019,2018/2019,NB8,,
IS2020F418,19/03/2020,2019/2020,NB8,,
IS2020F419,19/03/2020,2019/2020,NB8,,
IS2020F420,19/03/2020,2019/2020,NB8,,
IS2020F421,19/03/2020,2019/2020,NB8,,
IS2020F422,19/03/2020,2019/2020,NB8,,
IS2020F423,19/03/2020,2019/2020,NB8,,
IS2020F424,19/03/2020,2019/2020,NB8,,
IS2020F425,19/03/2020,2019/2020,NB8,,
IS2020F426,19/03/2020,2019/2020,NB8,,
IS2020F427,19/03/2020,2019/2020,NB8,,
IS2019F146,01/04/2019,2018/2019,OF3,,
IS2019F147,01/04/2019,2018/2019,OF3,,
IS2019F148,01/04/2019,2018/2019,OF3,,
IS2019F149,01/04/2019,2018/2019,OF3,,
IS2019F150,01/04/2019,2018/2019,OF32,,
IS2019F151,01/04/2019,2018/2019,OF32,,
IS2019F152,01/04/2019,2018/2019,OF32,,
IS2019F153,01/04/2019,2018/2019,OF32,,
IS2019F154,01/04/2019,2018/2019,OF36,,
IS2019F155,01/04/2019,2018/2019,OF36,,
IS2019F156,01/04/2019,2018/2019,OF36,,
IS2019F157,01/04/2019,2018/2019,OF36,,
IS2020F438,20/03/2020,2019/2020,OF36,,
IS2020F439,20/03/2020,2019/2020,OF36,,
IS2020F440,20/03/2020,2019/2020,OF36,,
IS2020F441,20/03/2020,2019/2020,OF36,,
IS2020F442,20/03/2020,2019/2020,OF36,,
IS2020F443,20/03/2020,2019/2020,OF36,,
IS2020F444,20/03/2020,2019/2020,OF36,,
IS2020F445,20/03/2020,2019/2020,OF36,,
IS2020F446,20/03/2020,2019/2020,OF36,,
IS2020F447,20/03/2020,2019/2020,OF36,,
IS2018F30,21/02/2018,2017/2018,OM43,No,
IS2018F31,21/02/2018,2017/2018,OM43,No,
IS2018F32,21/02/2018,2017/2018,OM43,No,
IS2018F33,21/02/2018,2017/2018,OM43,No,
IS2019F53,26/02/2019,2018/2019,OV1,,
IS2019F54,26/02/2019,2018/2019,OV1,,
IS2019F55,26/02/2019,2018/2019,OV1,,
IS2019F85,26/02/2019,2018/2019,OV1,,
IS2018F02,22/02/2018,2017/2018,OV25,Yes,
IS2018F03,22/02/2018,2017/2018,OV25,Yes,
IS2018F04,22/02/2018,2017/2018,OV25,Yes,
IS2018F13,22/02/2018,2017/2018,OV25,Yes,
IS2019F59,27/02/2019,2018/2019,OV27,,
IS2019F60,27/02/2019,2018/2019,OV27,,
IS2019F61,27/02/2019,2018/2019,OV27,,
IS2019F73,27/02/2019,2018/2019,OV27,,
IS2019F74,27/02/2019,2018/2019,OV27,,
IS2019F75,27/02/2019,2018/2019,OV27,,
IS2019F198,30/03/2019,2018/2019,OV28,,
IS2019F199,30/03/2019,2018/2019,OV28,,
IS2019F200,30/03/2019,2018/2019,OV28,,
IS2019F201,30/03/2019,2018/2019,OV28,,
IS2019F222,29/10/2019,2019/2020,OV3,No,
IS2019F223,29/10/2019,2019/2020,OV3,No,
IS2019F224,29/10/2019,2019/2020,OV3,No,
IS2019F225,29/10/2019,2019/2020,OV3,No,
IS2019F226,31/10/2019,2019/2020,OV43,No,
IS2019F227,31/10/2019,2019/2020,OV43,No,
IS2019F228,31/10/2019,2019/2020,OV43,No,
IS2019F229,31/10/2019,2019/2020,OV43,No,
IS2020F358,16/03/2020,2019/2020,OV43,,
IS2020F359,16/03/2020,2019/2020,OV43,,
IS2020F360,16/03/2020,2019/2020,OV43,,
IS2020F361,16/03/2020,2019/2020,OV43,,
IS2020F362,16/03/2020,2019/2020,OV43,,
IS2020F363,16/03/2020,2019/2020,OV43,,
IS2020F364,16/03/2020,2019/2020,OV43,,
IS2020F365,16/03/2020,2019/2020,OV43,,
IS2020F366,16/03/2020,2019/2020,OV43,,
IS2020F367,16/03/2020,2019/2020,OV43,,
IS2018F29,21/02/2018,2017/2018,OV6,No,
IS2018F40,21/02/2018,2017/2018,OV6,No,
IS2018F41,21/02/2018,2017/2018,OV6,No,
IS2018F42,21/02/2018,2017/2018,OV6,No,
IS2019F174,28/03/2019,2018/2019,OV6,,
IS2019F175,28/03/2019,2018/2019,OV6,,
IS2019F176,28/03/2019,2018/2019,OV6,,
IS2019F177,28/03/2019,2018/2019,OV6,,
IS2019F86,25/02/2019,2018/2019,RK2,,
IS2019F87,25/02/2019,2018/2019,RK2,,
IS2019F88,25/02/2019,2018/2019,RK2,,
IS2019F89,25/02/2019,2018/2019,RK2,,
IS2020F323,16/02/2020,2019/2020,RK2,,
IS2020F324,16/02/2020,2019/2020,RK2,,
IS2020F325,16/02/2020,2019/2020,RK2,,
IS2020F326,16/02/2020,2019/2020,RK2,,
IS2020F327,16/02/2020,2019/2020,RK2,,
IS2020F328,16/02/2020,2019/2020,RK2,,
IS2020F329,16/02/2020,2019/2020,RK2,,
IS2020F368,16/03/2020,2019/2020,RK2,,
IS2020F369,16/03/2020,2019/2020,RK2,,
IS2020F370,16/03/2020,2019/2020,RK2,,
IS2020F371,16/03/2020,2019/2020,RK2,,
IS2020F372,16/03/2020,2019/2020,RK2,,
IS2020F373,16/03/2020,2019/2020,RK2,,
IS2020F374,16/03/2020,2019/2020,RK2,,
IS2020F375,16/03/2020,2019/2020,RK2,,
IS2020F376,16/03/2020,2019/2020,RK2,,
IS2020F377,16/03/2020,2019/2020,RK2,,
IS2018F21,23/02/2018,2017/2018,RK4,Yes,
IS2019F190,01/04/2019,2018/2019,RM24,,
IS2019F191,01/04/2019,2018/2019,RM24,,
IS2019F192,01/04/2019,2018/2019,RM24,,
IS2019F193,01/04/2019,2018/2019,RM24,,
IS2019F214,28/10/2019,2019/2020,RM24,No,
IS2019F215,28/10/2019,2019/2020,RM24,No,
IS2019F216,28/10/2019,2019/2020,RM24,No,
IS2019F217,28/10/2019,2019/2020,RM24,No,
IS2020F408,19/03/2020,2019/2020,RM24,,
IS2020F409,19/03/2020,2019/2020,RM24,,
IS2020F410,19/03/2020,2019/2020,RM24,,
IS2020F411,19/03/2020,2019/2020,RM24,,
IS2020F412,19/03/2020,2019/2020,RM24,,
IS2020F413,19/03/2020,2019/2020,RM24,,
IS2020F414,19/03/2020,2019/2020,RM24,,
IS2020F415,19/03/2020,2019/2020,RM24,,
IS2020F416,19/03/2020,2019/2020,RM24,,
IS2020F417,19/03/2020,2019/2020,RM24,,
IS2019F92,26/02/2019,2018/2019,RM25,,
IS2019F93,26/02/2019,2018/2019,RM25,,
IS2019F94,26/02/2019,2018/2019,RM25,,
IS2019F95,26/02/2019,2018/2019,RM25,,
IS2019F230,12/11/2019,2019/2020,RM25,No,
IS2019F231,12/11/2019,2019/2020,RM25,No,
IS2019F232,12/11/2019,2019/2020,RM25,No,
IS2019F233,12/11/2019,2019/2020,RM25,No,
IS2019F218,28/10/2019,2019/2020,RM27,No,
IS2019F219,28/10/2019,2019/2020,RM27,No,
IS2019F220,28/10/2019,2019/2020,RM27,No,
IS2019F221,28/10/2019,2019/2020,RM27,No,
IS2020F268,26/01/2020,2019/2020,SG10,,
IS2020F269,26/01/2020,2019/2020,SG10,,
IS2020F270,26/01/2020,2019/2020,SG10,,
IS2020F271,26/01/2020,2019/2020,SG10,,
IS2019F102,28/03/2019,2018/2019,SG5,,
IS2019F103,28/03/2019,2018/2019,SG5,,
IS2019F104,28/03/2019,2018/2019,SG5,,
IS2019F105,28/03/2019,2018/2019,SG5,,
IS2019F194,30/03/2019,2018/2019,SU1,,
IS2019F195,30/03/2019,2018/2019,SU1,,
IS2019F196,30/03/2019,2018/2019,SU1,,
IS2019F197,30/03/2019,2018/2019,SU1,,
IS2019F134,06/04/2019,2018/2019,SU18,,
IS2019F135,06/04/2019,2018/2019,SU18,,
IS2019F136,06/04/2019,2018/2019,SU18,,
IS2019F137,06/04/2019,2018/2019,SU18,,
IS2020F330,16/02/2020,2019/2020,SU18,,
IS2020F331,16/02/2020,2019/2020,SU18,,
IS2020F332,16/02/2020,2019/2020,SU18,,
IS2020F333,16/02/2020,2019/2020,SU18,,
IS2020F334,16/02/2020,2019/2020,SU18,,
IS2020F335,16/02/2020,2019/2020,SU18,,
IS2019F206,25/10/2019,2019/2020,SU8,No,
IS2019F207,25/10/2019,2019/2020,SU8,No,
IS2019F208,25/10/2019,2019/2020,SU8,No,
IS2019F209,25/10/2019,2019/2020,SU8,No,
